File,Time,Colonies,FalsePos,FalseNeg,Method
LQ/LB_01.tif,134.45472264289856,52,16,22,h
LQ/LB_02.tif,167.4124481678009,97,9,30,h
LQ/LB_03.tif,87.52953505516052,94,1,9,h
LQ/LB_04.tif,94.64532613754272,75,31,49,h
LQ/LB_05.tif,52.632641077041626,33,6,30,h
LQ/LB_06.tif,83.43212890625,1064,103,70,h
LQ/LB_07.tif,38.962273836135864,951,19,60,h
LQ/LB_08.tif,60.40696907043457,10,6,8,h
LQ/LB_09.tif,70.13680577278137,21,5,9,h
LQ/LB_10.tif,89.8774561882019,41,7,11,h
LQ/LB_11.tif,45.60849690437317,23,13,15,h
LQ/LB_12.tif,59.66892957687378,19,9,5,h
LQ/LB_13.tif,58.32994484901428,12,6,11,h
LQ/LB_14.tif,40.77730202674866,7,2,5,h
LQ/LB_15.tif,54.884507179260254,188,0,2,h
LQ/LB_16.tif,41.11950635910034,297,3,7,h
LQ/LB_17.tif,56.13579821586609,457,4,11,h
LQ/LB_18.tif,43.93103504180908,218,5,5,h
LQ/LB_19.tif,49.72697591781616,181,6,13,h
