File,Time,Colonies,FalsePos,FalseNeg,Method
IMG_07,65.18,113,13,84,h
IMG_09,48.25032877922058,24,4,268,h
IMG_13,78.10753035545349,114,61,32,h
IMG_14,60.66134214401245,1153,55,1402,h
IMG_15,91.18565630912781,90,43,54,h
IMG_16,85.27913331985474,346,24,2178,h
IMG_17,59.63349914550781,43,11,71,h
IMG_18,41.28115725517273,666,61,1895,h
IMG_19,59.055458784103394,1073,153,1580,h
IMG_20,31.063948392868042,30,5,83,h
IMG_21,98.50373768806458,168,125,66,h
IMG_22,76.6122317314148,11,9,0,h
IMG_23,83.27365899085999,7,6,2,h
IMG_27,87.50292181968689,117,78,76,h
IMG_28,39.83418035507202,97,59,77,h
IMG_29,53.17807936668396,13,11,4,h
IMG_32,52.268967628479004,1,0,2,h
IMG_33,72.93308687210083,2,1,1,h
IMG_34,68.39090251922607,76,6,46,h
