File,Time,Colonies,FalsePos,FalseNeg,Method
IMG_07,16.20,2,2,287,w
IMG_09,27.993236541748047,310,310,287,w
IMG_13,41.35685706138611,40,38,101,w
IMG_14,20.987586736679077,10,10,2500,w
IMG_15,35.54962944984436,226,226,101,w
IMG_16,21.103172063827515,27,15,2488,w
IMG_17,33.45711898803711,31,31,103,w
IMG_18,22.269874095916748,26,24,2498,w
IMG_19,34.49535083770752,4,4,2500,w
IMG_20,64.41175127029419,32,32,108,w
IMG_21,25.8200261592865,3,3,109,w
IMG_22,30.78863525390625,3,3,2,w
IMG_23,26.19163966178894,1,1,3,w
IMG_27,27.02609872817993,2,2,115,w
IMG_28,38.134069204330444,22,0,93,w
IMG_29,41.997777223587036,25,25,6,w
IMG_32,18.535706043243408,24,24,3,w
IMG_33,16.908846378326416,16,16,2,w
IMG_34,21.57776188850403,45,45,116,w
